device id,device type,user social score,latitude,longitude,timestamp,data integrity score,authenticity score,anomaly score,twin sync latency ms,battery level pct,network strength db,encryption enabled,firmware version,vulnerability count,suspicious interactions count,fused confidence,risk score,risk level,recommended action,device id,device type,user social score,latitude,longitude,timestamp
dev_100000,camera,0.689,22.913639,79.949485,22:22.5,0.485,0.825,0.226,185,26,-74.3,TRUE,1.0.4,2,1,0.661,0.272,Low,Normal monitoring; periodic audit,dev_100000,camera,113.7778597,153.4081022,193.0383447,22:22.5
dev_100001,thermostat,0.622,17.298941,74.613416,14:13.5,0.784,0.897,0.279,136,16,-83.3,FALSE,3.0.1,5,0,0.774,0.257,Low,Normal monitoring; periodic audit,dev_100001,thermostat,104.8362017,141.8319097,178.8276177,14:13.5
dev_100002,sensor,0.579,19.480473,76.67639,43:49.5,0.653,0.566,0.309,103,49,-85.1,TRUE,1.0.9,0,0,0.882,0.248,Low,Normal monitoring; periodic audit,dev_100002,sensor,108.3426777,146.3913727,184.4400677,43:49.5
dev_100003,smartphone,0.746,24.465827,78.685049,08:50.5,0.791,0.992,0.364,192,65,-75.3,TRUE,1.0.3,0,0,0.571,0.18,Low,Normal monitoring; periodic audit,dev_100003,smartphone,112.571341,151.5408655,190.51039,08:50.5
dev_100004,smartphone,0.454,24.890677,82.044104,05:24.5,0.774,0.838,0.206,92,73,-74,TRUE,2.1.3,1,1,0.715,0.182,Low,Normal monitoring; periodic audit,dev_100004,smartphone,117.3863643,158.1814163,198.9764683,05:24.5
dev_100005,sensor,0.646,25.218173,76.480723,03:30.5,0.721,0.882,0.253,55,99,-55.9,TRUE,2.0.3,0,1,0.917,0.181,Low,Normal monitoring; periodic audit,dev_100005,sensor,109.9496883,147.8670498,185.7844113,03:30.5
dev_100006,smart_speaker,0.907,15.759578,79.083831,06:59.5,0.735,0.642,0.19,138,97,-86.1,TRUE,1.0.2,3,0,0.772,0.236,Low,Normal monitoring; periodic audit,dev_100006,smart_speaker,110.093634,149.1820495,188.270465,06:59.5
dev_100007,vehicle,0.694,24.464564,81.761655,18:08.5,0.72,0.312,0.491,181,96,-65.8,TRUE,1.2.2,0,0,0.863,0.34,Low,Normal monitoring; periodic audit,dev_100007,vehicle,116.707728,157.2415555,197.775383,18:08.5
dev_100008,vehicle,0.44,25.323806,77.893877,18:46.5,0.649,0.734,0.249,110,83,-74.5,TRUE,1.0.1,1,0,0.843,0.221,Low,Normal monitoring; periodic audit,dev_100008,vehicle,112.006438,150.7333765,189.460315,18:46.5
dev_100009,vehicle,0.728,22.553998,79.663512,00:23.5,0.586,0.841,0.45,161,100,-64.3,TRUE,1.2.9,2,0,0.886,0.31,Low,Normal monitoring; periodic audit,dev_100009,vehicle,113.250682,152.718438,192.186194,00:23.5
dev_100010,smartphone,0.63,15.953123,78.61888,44:36.5,0.72,0.834,0.112,123,48,-48.6,TRUE,3.0.7,2,1,0.826,0.18,Low,Normal monitoring; periodic audit,dev_100010,smartphone,109.722881,148.717321,187.711761,44:36.5
dev_100011,appliance,0.457,15.847207,83.589384,56:42.5,0.89,0.373,0.222,61,33,-72.4,TRUE,1.0.8,1,0,0.975,0.216,Low,Normal monitoring; periodic audit,dev_100011,appliance,116.4302477,157.9964397,199.5626317,56:42.5
dev_100012,vehicle,0.241,21.752201,80.313837,39:29.5,0.578,0.878,0.578,290,16,-71.5,FALSE,2.1.3,1,0,0.821,0.338,Low,Normal monitoring; periodic audit,dev_100012,vehicle,114.175183,154.2116015,194.24802,39:29.5
